imagen,vel alambre,flujo gas,peri voltaje,voltaje,corriente,ubicacion,pixeles,mm_por_pixel,punto_referencia_x,punto_referencia_y
Cordon11_Seccion 1 horizontal C11.jpg,5.0,5.0,5.0,5.0,5.0,1,196.0025510038071,65.3341836679357,442,298
Cordon12_Seccion 1 horizontal C12.jpg,4.0,4.0,4.0,4.0,4.0,1,197.00253805471644,65.66751268490547,428,244
Cordon17_Seccion 1 horizontal C17.jpg,4.0,4.0,4.0,4.0,4.0,1,176.00284088616297,58.66761362872099,401,310
Cordon8_Seccion 1 horizontal C8.jpg,2.0,2.0,2.0,2.0,2.0,1,95.00526301210895,31.66842100403632,359,155
Cordon3_Seccion 1 horizontal C3.jpg,3.0,3.0,3.0,3.0,3.0,1,128.00390619039715,42.6679687301324,460,246
Cordon19_Seccion 1 horizontal C19.jpg,5.0,5.0,5.0,5.0,5.0,1,182.0,60.66666666666666,380,317
Cordon9_Seccion 1 horizontal C9.jpg,2.0,2.0,2.0,2.0,2.0,1,171.0,57.0,431,275
Cordon6_Seccion 1 horizontal C6.jpg,2.0,2.0,2.0,2.0,2.0,1,110.00454536063498,36.66818178687833,457,184
Cordon4_Seccion 1 horizontal C4.jpg,3.0,3.0,3.0,3.0,3.0,1,121.0,40.333333333333336,424,224
Cordon10_Seccion 1 horizontal C10.jpg,5.0,5.0,5.0,5.0,5.0,1,204.0024509656685,68.00081698855618,442,308
Cordon5_Seccion 1 horizontal C5.jpg,5.0,5.0,5.0,5.0,5.0,1,119.0,39.66666666666666,463,219
Cordon18_Seccion 2 horizontal C18.jpg,4.0,4.0,4.0,4.0,4.0,1,180.0,60.0,383,353
Cordon1_Seccion 1 horizontal C1.jpg,3.0,3.0,3.0,3.0,3.0,1,121.00413216084812,40.33471072028271,425,221
Cordon13_Seccion 1 horizontal C13.jpg,4.0,4.0,4.0,4.0,4.0,1,183.0109286354233,61.00364287847444,435,269
Cordon16_Seccion 1 horizontal C16.jpg,4.0,4.0,4.0,4.0,4.0,1,175.0,58.333333333333336,415,351
Cordon7_Seccion 1 horizontal C7.jpg,3.0,3.0,3.0,3.0,3.0,1,114.00438588054408,38.001461960181366,503,208
Cordon2_Seccion 1 horizontal C2.jpg,3.0,3.0,3.0,3.0,3.0,1,118.00423721205946,39.33474573735315,396,270
Cordon14_Seccion 1 horizontal C14.jpg,4.0,4.0,4.0,4.0,4.0,1,178.01123560045303,59.337078533484345,412,300
Cordon1_Seccion 3 horizontal C1.jpg,3.0,3.0,3.0,3.0,3.0,2,114.0,38.0,415,168
Cordon6_Seccion 4 horizontal C6.jpg,2.0,2.0,2.0,2.0,2.0,2,122.00409829181967,40.6680327639399,516,197
Cordon18_Seccion 3 horizontal C18.jpg,4.0,4.0,4.0,4.0,4.0,2,181.00276240985937,60.33425413661979,398,294
Cordon13_Seccion 3 horizontal C13.jpg,4.0,4.0,4.0,4.0,4.0,2,176.0,58.66666666666666,387,235
Cordon19_Seccion 4 horizontal C19.jpg,5.0,5.0,5.0,5.0,5.0,2,184.0108692441835,61.33695641472784,418,258
Cordon11_Seccion 3 horizontal C11.jpg,5.0,5.0,5.0,5.0,5.0,2,185.00270268296083,61.66756756098695,407,236
Cordon10_Seccion 3 horizontal C10.jpg,5.0,5.0,5.0,5.0,5.0,2,224.0022321317357,74.66741071057857,454,266
Cordon7_Seccion 2 horizontal C7.jpg,3.0,3.0,3.0,3.0,3.0,2,127.0,42.333333333333336,476,197
Cordon16_Seccion 3 horizontal C16.jpg,4.0,4.0,4.0,4.0,4.0,2,179.00279327429502,59.66759775809834,368,322
Cordon4_Seccion 3 horizontal C4.jpg,3.0,3.0,3.0,3.0,3.0,2,113.0,37.66666666666666,433,195
Cordon12_Seccion 3 horizontal C12.jpg,4.0,4.0,4.0,4.0,4.0,2,179.0111728356641,59.67039094522136,466,251
Cordon3_Seccion 3 horizontal C3.jpg,3.0,3.0,3.0,3.0,3.0,2,122.0,40.66666666666666,466,163
Cordon17_Seccion 2 horizontal C17.jpg,4.0,4.0,4.0,4.0,4.0,2,182.0109886792553,60.67032955975176,425,244
Cordon5_Seccion 4 horizontal C5.jpg,5.0,5.0,5.0,5.0,5.0,2,123.00406497347964,41.00135499115988,458,181
Cordon14_Seccion 3 horizontal C14.jpg,4.0,4.0,4.0,4.0,4.0,2,183.0437106267244,61.01457020890812,450,239
Cordon2_Seccion 3 horizontal C2.jpg,3.0,3.0,3.0,3.0,3.0,2,118.01694793545543,39.33898264515181,435,176
Cordon9_Seccion 4 horizontal.jpg,2.0,2.0,2.0,2.0,2.0,2,231.00216449202367,77.00072149734125,414,299
Cordon8_Seccion 5 horizontal C8.jpg,2.0,2.0,2.0,2.0,2.0,2,99.02019995940222,33.00673331980074,360,148
Cordon8_Seccion 6 horizontal C8.jpg,2.0,2.0,2.0,2.0,2.0,3,97.0051545022222,32.33505150074073,371,128
Cordon2_Seccion 4 horizontal C2.jpg,3.0,3.0,3.0,3.0,3.0,3,119.01680553602505,39.67226851200834,369,192
Cordon11_Seccion 4 horizontal C11.jpg,5.0,5.0,5.0,5.0,5.0,3,189.010581714358,63.003527238119325,455,206
Cordon12_Seccion 5 horizontal C12.jpg,4.0,4.0,4.0,4.0,4.0,3,174.0,58.0,447,245
Cordon6_Seccion 6 horizontal C6.jpg,2.0,2.0,2.0,2.0,2.0,3,118.0,39.333333333333336,492,142
Cordon7_Seccion 3 horizontal C7.jpg,3.0,3.0,3.0,3.0,3.0,3,128.03515142334936,42.67838380778312,507,166
Cordon10_Seccion 4 horizontal C10.jpg,5.0,5.0,5.0,5.0,5.0,3,256.0019531175495,85.3339843725165,415,280
Cordon18_Seccion 4 horizontal C18.jpg,4.0,4.0,4.0,4.0,4.0,3,179.0111728356641,59.67039094522136,415,304
Cordon16_Seccion 5 horizontal C16.jpg,4.0,4.0,4.0,4.0,4.0,3,181.01104938649465,60.33701646216488,370,219
Cordon4_Seccion 4 horizontal C4.jpg,3.0,3.0,3.0,3.0,3.0,3,115.00434774390054,38.33478258130018,470,147
Cordon5_Seccion 7 horizontal C5.jpg,5.0,5.0,5.0,5.0,5.0,3,120.0041665943312,40.00138886477707,473,174
Cordon9_Seccion 6 horizontal C9.jpg,2.0,2.0,2.0,2.0,2.0,3,221.02036105300343,73.67345368433448,315,326
Cordon1_Seccion 5 horizontal C1.jpg,3.0,3.0,3.0,3.0,3.0,3,126.00396819148196,42.00132273049399,360,120
Cordon14_Seccion 4 horizontal C14.jpg,4.0,4.0,4.0,4.0,4.0,3,201.0,67.0,422,270
Cordon19_Seccion 6 horizontal C19.jpg,5.0,5.0,5.0,5.0,5.0,3,219.0091322296858,73.00304407656193,407,271
Cordon17_Seccion 3 horizontal C17.jpg,4.0,4.0,4.0,4.0,4.0,3,181.02486017119307,60.341620057064354,391,279
Cordon3_Seccion 4 horizontal C3.jpg,3.0,3.0,3.0,3.0,3.0,3,123.0,41.0,471,157
Cordon13_Seccion 4 horizontal C13.jpg,4.0,4.0,4.0,4.0,4.0,3,176.00284088616297,58.66761362872099,463,191
