imagen,punto 1,punto 2,punto 3,punto 4,punto 5,punto 6,punto 7,punto 8,punto 9,punto 10,punto 11,punto 12,punto 13,punto 14,punto 15,distancia,vel alambre,flujo gas,peri voltaje,voltaje,corriente,ubicacion
Cordon11_Seccion 1 horizontal C11.jpg,"213,297","200,266","199,198","220,161","245,129","283,96","334,77","399,60","454,58","505,66","569,100","615,144","645,197","654,254","710,296",189.0026454841307,5.0,5.0,5.0,5.0,5.0,1
Cordon12_Seccion 1 horizontal C12.jpg,"226,244","207,218","202,195","203,167","215,134","231,105","263,73","359,28","426,22","471,31","545,58","577,83","609,129","625,182","653,244",187.0106948813356,4.0,4.0,4.0,4.0,4.0,1
Cordon17_Seccion 1 horizontal C17.jpg,"172,312","185,281","194,215","219,169","261,129","334,92","407,80","477,84","547,111","593,146","626,180","636,206","638,236","637,266","617,309",172.00290695217916,4.0,4.0,4.0,4.0,4.0,1
Cordon8_Seccion 1 horizontal C8.jpg,"280,155","288,140","294,124","301,106","323,86","354,73","384,76","396,78","411,90","427,105","431,116","434,127","440,135","441,144","450,156",92.0,2.0,2.0,2.0,2.0,2.0,1
Cordon3_Seccion 1 horizontal C3.jpg,"308,246","309,240","297,221","299,192","318,149","372,112","439,94","488,96","523,106","569,134","593,154","600,179","604,201","610,223","638,247",123.00406497347964,3.0,3.0,3.0,3.0,3.0,1
Cordon19_Seccion 1 horizontal C19.jpg,"274,316","232,308","200,284","167,244","157,201","177,158","217,113","311,66","406,45","489,42","558,99","595,143","610,200","606,271","603,315",178.0028089666003,5.0,5.0,5.0,5.0,5.0,1
Cordon9_Seccion 1 horizontal C9.jpg,"253,274","268,254","284,229","274,198","277,163","300,120","344,90","405,68","458,64","498,79","527,101","574,150","587,171","590,194","604,271",166.00301202086666,2.0,2.0,2.0,2.0,2.0,1
Cordon6_Seccion 1 horizontal C6.jpg,"337,181","360,170","376,141","391,108","409,87","454,71","500,83","540,109","544,125","545,139","550,148","555,162","560,172","563,181","568,186",107.0,2.0,2.0,2.0,2.0,2.0,1
Cordon4_Seccion 1 horizontal C4.jpg,"312,220","318,200","319,185","327,162","343,139","368,123","417,119","449,124","469,140","488,156","499,167","504,178","513,198","521,208","531,221",116.0,3.0,3.0,3.0,3.0,3.0,1
Cordon10_Seccion 1 horizontal C10.jpg,"230,310","226,257","223,193","240,141","266,101","331,57","407,18","494,30","556,47","601,79","647,138","659,172","657,225","653,283","659,302",198.00252523642217,5.0,5.0,5.0,5.0,5.0,1
Cordon5_Seccion 1 horizontal C5.jpg,"340,218","336,202","331,177","337,142","367,103","412,74","465,62","508,62","543,80","564,95","582,122","598,144","597,171","594,194","587,211",116.0,5.0,5.0,5.0,5.0,5.0,1
Cordon18_Seccion 2 horizontal C18.jpg,"172,358","179,313","204,262","230,220","272,183","325,158","383,153","442,155","491,173","542,203","582,241","591,268","598,297","591,325","581,350",175.0114281982751,4.0,4.0,4.0,4.0,4.0,1
Cordon1_Seccion 1 horizontal C1.jpg,"342,221","327,210","314,178","311,145","329,113","355,88","395,73","458,75","505,97","529,125","539,149","538,174","536,189","535,198","539,219",118.01694793545543,3.0,3.0,3.0,3.0,3.0,1
Cordon13_Seccion 1 horizontal C13.jpg,"271,259","265,242","246,218","244,184","259,144","316,102","362,74","417,61","487,56","538,69","574,89","614,111","641,145","656,191","650,262",177.00282483621552,4.0,4.0,4.0,4.0,4.0,1
Cordon16_Seccion 1 horizontal C16.jpg,"181,355","174,329","166,283","168,232","214,160","275,114","363,89","450,86","530,103","571,148","592,184","613,219","636,264","654,313","685,359",171.00292395160966,4.0,4.0,4.0,4.0,4.0,1
Cordon7_Seccion 1 horizontal C7.jpg,"354,210","376,199","387,171","406,148","438,119","478,103","521,103","549,112","582,125","600,143","612,153","619,169","626,179","629,189","634,203",109.01834707974616,3.0,3.0,3.0,3.0,3.0,1
Cordon2_Seccion 1 horizontal C2.jpg,"285,268","289,237","275,225","274,198","286,163","319,137","378,113","428,115","464,128","493,148","515,175","523,193","523,227","518,251","522,259",113.00442469213318,3.0,3.0,3.0,3.0,3.0,1
Cordon14_Seccion 1 horizontal C14.jpg,"223,299","213,270","213,231","229,180","279,134","342,108","414,93","471,102","521,125","555,154","581,183","598,216","605,254","614,274","625,295",174.0,4.0,4.0,4.0,4.0,4.0,1
Cordon1_Seccion 3 horizontal C1.jpg,"313,164","317,148","317,115","330,83","366,59","430,47","480,60","504,77","517,98","520,119","517,133","516,146","511,153","515,162","522,166",113.017697729161,3.0,3.0,3.0,3.0,3.0,2
Cordon6_Seccion 4 horizontal C6.jpg,"378,199","394,189","406,167","425,140","454,114","481,103","521,103","537,106","567,127","589,143","600,159","611,173","619,182","629,191","634,196",116.0,2.0,2.0,2.0,2.0,2.0,2
Cordon18_Seccion 3 horizontal C18.jpg,"197,303","203,263","218,226","239,180","279,135","354,102","444,95","501,114","536,142","566,177","577,198","583,215","588,252","584,275","594,291",172.01162751395617,4.0,4.0,4.0,4.0,4.0,2
Cordon13_Seccion 3 horizontal C13.jpg,"177,236","202,221","219,205","246,159","297,122","362,100","398,97","447,99","491,106","547,137","567,156","581,175","586,189","590,205","587,229",170.0,4.0,4.0,4.0,4.0,4.0,2
Cordon19_Seccion 4 horizontal C19.jpg,"188,258","197,244","214,236","222,210","235,181","250,145","287,100","342,71","405,63","441,69","493,105","531,138","551,175","560,205","562,239",180.01111076819674,5.0,5.0,5.0,5.0,5.0,2
Cordon11_Seccion 3 horizontal C11.jpg,"179,239","186,215","193,168","218,125","268,82","308,64","368,50","407,46","454,57","497,75","537,96","567,119","594,144","611,190","627,229",178.0028089666003,5.0,5.0,5.0,5.0,5.0,2
Cordon10_Seccion 3 horizontal C10.jpg,"212,268","229,247","243,221","270,189","294,159","312,125","374,57","454,40","514,46","587,72","618,121","637,159","659,199","692,248","709,264",222.02026934494063,5.0,5.0,5.0,5.0,5.0,2
Cordon7_Seccion 2 horizontal C7.jpg,"347,191","362,175","374,153","389,132","409,115","437,103","472,97","507,102","527,107","547,124","571,142","582,164","599,187","608,196","623,196",120.0041665943312,3.0,3.0,3.0,3.0,3.0,2
Cordon16_Seccion 3 horizontal C16.jpg,"188,316","191,297","167,272","164,223","186,178","235,136","302,103","369,90","433,94","495,111","545,148","571,189","581,234","575,278","569,315",173.02600960549256,4.0,4.0,4.0,4.0,4.0,2
Cordon4_Seccion 3 horizontal C4.jpg,"341,193","350,173","353,152","367,137","389,114","412,103","440,104","469,112","485,124","500,132","513,143","520,157","528,169","533,179","540,186",110.00454536063498,3.0,3.0,3.0,3.0,3.0,2
Cordon12_Seccion 3 horizontal C12.jpg,"269,251","293,236","303,219","326,169","359,126","389,103","425,91","479,88","534,102","583,122","606,152","632,179","649,215","654,231","658,251",176.00284088616297,4.0,4.0,4.0,4.0,4.0,2
Cordon3_Seccion 3 horizontal C3.jpg,"310,163","330,148","344,121","360,94","399,64","434,51","492,47","516,52","551,67","578,82","599,104","605,121","608,131","607,145","602,158",120.0041665943312,3.0,3.0,3.0,3.0,3.0,2
Cordon17_Seccion 2 horizontal C17.jpg,"215,245","220,210","232,183","257,149","291,118","342,85","387,74","447,74","496,84","524,100","552,119","585,148","602,167","610,197","627,237",176.00284088616297,4.0,4.0,4.0,4.0,4.0,2
Cordon5_Seccion 4 horizontal C5.jpg,"339,180","351,168","363,156","381,130","393,104","428,80","470,73","500,80","537,97","557,118","570,132","573,151","574,165","574,172","576,187",120.0041665943312,5.0,5.0,5.0,5.0,5.0,2
Cordon14_Seccion 3 horizontal C14.jpg,"244,242","265,225","290,187","322,145","355,111","403,89","448,79","499,81","539,89","581,110","613,137","641,173","642,193","644,209","646,228",174.0,4.0,4.0,4.0,4.0,4.0,2
Cordon2_Seccion 3 horizontal C2.jpg,"315,186","323,166","329,136","353,102","383,86","416,74","461,77","483,88","512,98","531,110","539,124","550,138","560,153","555,170","569,175",114.00438588054408,3.0,3.0,3.0,3.0,3.0,2
Cordon9_Seccion 4 horizontal.jpg,"303,295","287,276","283,257","287,237","299,206","321,170","364,141","410,132","444,130","483,147","511,164","541,216","548,248","552,265","569,297",221.0,2.0,2.0,2.0,2.0,2.0,2
Cordon8_Seccion 5 horizontal C8.jpg,"266,149","278,132","287,119","299,99","322,82","360,65","393,74","408,79","429,95","434,102","442,121","446,129","446,136","443,140","438,146",93.00537618869136,2.0,2.0,2.0,2.0,2.0,2
Cordon8_Seccion 6 horizontal C8.jpg,"277,124","292,113","309,94","328,82","348,73","365,71","381,69","393,71","409,78","421,86","426,91","437,102","446,111","448,124","460,129",92.00543462209176,2.0,2.0,2.0,2.0,2.0,3
Cordon2_Seccion 4 horizontal C2.jpg,"244,183","253,179","258,163","273,143","296,131","319,121","347,116","385,117","411,124","441,138","462,155","478,168","477,178","476,185","483,195",118.00423721205946,3.0,3.0,3.0,3.0,3.0,3
Cordon11_Seccion 4 horizontal C11.jpg,"167,212","205,203","231,197","260,155","297,131","323,115","372,109","408,102","447,88","510,92","595,113","616,131","648,166","674,190","713,212",182.0,5.0,5.0,5.0,5.0,5.0,3
Cordon12_Seccion 5 horizontal C12.jpg,"227,251","252,234","275,192","299,171","322,142","360,115","400,93","446,85","483,87","527,94","564,113","597,132","619,151","637,177","659,242",171.00292395160966,4.0,4.0,4.0,4.0,4.0,3
Cordon6_Seccion 6 horizontal C6.jpg,"357,142","375,134","403,132","418,112","431,95","451,79","478,70","503,68","534,69","568,81","579,87","597,103","610,115","612,126","613,140",112.04017136723776,2.0,2.0,2.0,2.0,2.0,3
Cordon7_Seccion 3 horizontal C7.jpg,"371,166","396,151","422,123","453,106","488,96","522,94","549,97","571,109","584,117","594,126","609,141","618,152","619,159","629,162","633,163",122.00409829181967,3.0,3.0,3.0,3.0,3.0,3
Cordon10_Seccion 4 horizontal C10.jpg,"158,294","179,275","198,273","216,235","226,184","246,127","303,93","380,64","469,65","568,90","604,115","619,174","635,221","661,265","687,281",252.0,5.0,5.0,5.0,5.0,5.0,3
Cordon18_Seccion 4 horizontal C18.jpg,"186,309","210,288","229,241","258,182","286,137","323,105","357,87","401,75","453,81","504,97","570,127","616,168","633,204","641,219","630,292",173.0,4.0,4.0,4.0,4.0,4.0,3
Cordon16_Seccion 5 horizontal C16.jpg,"153,218","170,208","189,169","224,134","258,115","295,93","339,91","398,89","460,93","489,103","531,124","552,144","567,165","575,189","589,218",175.0028571195339,4.0,4.0,4.0,4.0,4.0,3
Cordon4_Seccion 4 horizontal C4.jpg,"364,146","378,126","385,104","397,74","417,54","460,40","491,42","517,57","535,74","548,89","550,98","550,109","551,117","550,127","560,135",113.0,3.0,3.0,3.0,3.0,3.0,3
Cordon5_Seccion 7 horizontal C5.jpg,"359,170","364,153","374,138","391,122","413,109","441,105","469,105","503,105","528,103","554,120","572,135","584,147","584,153","590,164","601,172",114.03946685248928,5.0,5.0,5.0,5.0,5.0,3
Cordon9_Seccion 6 horizontal C9.jpg,"156,321","160,305","157,270","168,217","191,166","243,128","292,117","368,118","414,137","442,167","474,217","485,244","486,262","483,298","492,325",215.00930212435,2.0,2.0,2.0,2.0,2.0,3
Cordon1_Seccion 5 horizontal C1.jpg,"242,119","257,103","269,89","291,71","312,63","334,63","358,65","386,59","407,65","422,74","435,87","449,98","460,109","463,115","471,116",123.01625908797584,3.0,3.0,3.0,3.0,3.0,3
Cordon14_Seccion 4 horizontal C14.jpg,"207,269","213,237","229,195","252,157","331,114","393,98","466,97","511,103","568,115","582,131","626,177","638,194","653,220","667,253","690,269",192.02343606966312,4.0,4.0,4.0,4.0,4.0,3
Cordon19_Seccion 6 horizontal C19.jpg,"258,270","258,241","276,219","287,213","303,157","333,113","378,82","458,78","515,103","545,139","563,179","554,225","537,248","516,257","511,271",214.0023364358436,5.0,5.0,5.0,5.0,5.0,3
Cordon17_Seccion 3 horizontal C17.jpg,"166,281","177,239","198,205","245,173","291,154","345,131","474,129","514,145","547,168","570,196","589,219","597,228","603,248","611,259","625,272",175.0114281982751,4.0,4.0,4.0,4.0,4.0,3
Cordon3_Seccion 4 horizontal C3.jpg,"330,155","331,139","339,117","367,98","397,80","451,80","473,86","498,84","522,75","552,86","596,113","609,129","612,134","617,146","627,157",120.0041665943312,3.0,3.0,3.0,3.0,3.0,3
Cordon13_Seccion 4 horizontal C13.jpg,"269,190","285,160","314,133","350,101","401,77","457,67","527,64","570,67","617,89","627,106","648,133","652,147","654,163","656,177","664,191",173.0028901492689,4.0,4.0,4.0,4.0,4.0,3
